Category,Nutrient Data Bank Number,Alpha Carotene,Ash,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Lutein and Zeaxanthin,Lycopene,Manganese,Niacin,Pantothenic Acid,Protein,Refuse Percentage,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid,Major Minerals.Calcium,Major Minerals.Copper,Major Minerals.Iron,Major Minerals.Magnesium,Major Minerals.Phosphorus,Major Minerals.Potassium,Major Minerals.Sodium,Major Minerals.Zinc,Vitamin A - IU,Vitamin A - RAE,Vitamin B12,Vitamin B6,Vitamin C,Vitamin E,Vitamin K
ABALONE,15155,0,1.57,0,0,6.01,85,65,0,105,0,0,0.04,1.5,3,17.1,0,2,0.1,44.8,0,0.19,74.56,0.107,0.104,0.149,0.76,31,0.196,3.19,48,190,250,301,0.82,7,2,0.73,0.15,2,4,23
ABIYUCH,9427,0,0.9,60,0,17.6,0,0,5.300000191,69,0,0,0.182,0,0,1.5,0,0,0,0,8.550000191,0,79.9,0,0,0.014,0.1,8,0.057,1.61,24,47,304,20,0.31,100,5,0,0,54.1,0,0
ACEROLA,9001,0,0.2,0,0,7.69,0,0,1.100000024,32,0,0,0,0.4,0.309,0.4,20,0,0.06,0.6,0,0.02,91.41,0.082,0.09,0.068,0.3,12,0.086,0.2,18,11,146,7,0.1,767,38,0,0.009,1677.6,0,0
ACEROLA JUICE,9002,0,0.2,305,0,4.8,0,0,0.300000012,23,17,0,0,0.4,0.205,0.4,0,0,0.06,0.1,4.5,0.02,94.3,0.082,0.09,0.068,0.3,10,0.086,0.5,12,9,97,3,0.1,509,25,0,0.004,1600,0.18,1.4
ACORN FLOUR,12060,0,1.69,0,0,54.65,0,0,0,501,0,0,1.743,2.382,0.931,7.49,0,0,0.154,0,0,0.146,6,19.11,5.813,3.923,30.17,43,0.611,1.21,110,103,712,0,0.64,51,3,0,0.688,0,0,0
ACORNS,12058,0,1.35,0,0,40.75,0,0,0,387,0,0,1.337,1.827,0.715,6.15,38,0,0.118,0,0,0.112,27.9,15.109,4.596,3.102,23.86,41,0.621,0.79,62,79,539,0,0.51,39,2,0,0.528,0,0,0
AGAVE,35192,0,1.27,22,0,16.23,0,0,6.599999905,68,0,0,0.094,0.162,0.041,0.52,0,0,0.039,0.4,2.579999924,0.029,81.83,0,0,0,0.15,417,0.138,1.8,55,7,127,14,0.15,37,2,0,0.055,4,0.23,5.3
AGUTUK,35001,0,4.1,0,0,13.4,10,0,0.5,353,0,0,0.13,0.55,0.02,3.4,0,0,0.05,0,0,0.04,47.3,14.4,8.4,7.7,31.8,8,0.03,0.3,7,46,70,21,0.18,696,0,0,0.01,2.9,2.36,0
ALCOHOLIC BEV,14003,0,0.16,0,0,3.55,0,10,0,43,0,0,0.008,0.513,0.041,0.46,0,0,0.025,0.6,0,0.005,91.96,0,0,0,0,4,0.005,0.02,6,14,27,4,0.01,0,0,0.02,0.046,0,0,0
ALFALFA SEEDS,11001,6,0.4,87,6,2.1,0,14,1.899999976,23,0,0,0.188,0.481,0.563,3.99,0,0,0.126,0.6,0.180000007,0.076,92.82,0.056,0.409,0.069,0.69,32,0.157,0.96,27,70,79,6,0.92,155,8,0,0.034,8.2,0.02,30.5
